Date,Open,High,Low,Close,Adj Close,Volume
2021-10-19,102.730003,103.699997,102.650002,103.599998,98.249054,46200
2021-10-20,103.269997,105.070000,103.190002,104.669998,99.263786,48000
2021-10-21,102.529999,102.529999,101.129997,101.410004,96.172173,56300
2021-10-22,103.059998,103.129997,101.830002,102.269997,96.987747,22600
2021-10-25,105.690002,107.089996,105.650002,106.400002,100.904434,54000
2021-10-26,107.599998,107.730003,106.459999,106.940002,101.416550,38100
2021-10-27,104.620003,105.000000,103.669998,103.699997,98.343887,28500
2021-10-28,103.320000,103.730003,102.809998,103.730003,98.372345,63600
2021-10-29,101.599998,102.260002,100.559998,102.029999,96.760147,18600
2021-11-01,102.529999,102.699997,101.519997,101.680000,96.428223,101200
2021-11-02,100.300003,101.150002,100.000000,100.769997,95.565224,23800
2021-11-03,99.400002,99.849998,98.699997,99.459999,94.322884,46700
2021-11-04,99.860001,99.860001,98.470001,99.220001,94.095284,32200
2021-11-05,100.849998,100.919998,99.970001,100.650002,95.451424,31900
2021-11-08,101.019997,101.809998,100.879997,100.879997,95.669540,22500
2021-11-09,102.269997,102.269997,100.500000,101.199997,95.973015,24200
2021-11-10,101.959999,102.400002,99.699997,99.699997,94.550484,49100
2021-11-11,99.019997,100.099998,98.660004,98.849998,93.744392,179900
2021-11-12,95.139999,95.309998,93.870003,94.029999,89.173347,49300
2021-11-15,95.680000,95.699997,94.709999,95.500000,90.567421,21700
2021-11-16,94.500000,95.110001,94.480003,94.930000,90.026863,36500
2021-11-17,94.889999,95.779999,94.500000,94.900002,89.998413,52500
2021-11-18,93.519997,93.660004,92.400002,93.660004,88.822456,38500
2021-11-19,91.379997,91.419998,90.500000,91.129997,86.423126,57600
2021-11-22,88.680000,88.790001,87.349998,87.650002,83.122871,105900
2021-11-23,89.500000,91.790001,89.089996,91.790001,87.049042,122900
2021-11-24,90.239998,91.339996,90.239998,90.699997,86.015335,62200
2021-11-26,85.800003,85.959999,84.029999,85.000000,80.609749,40100
2021-11-29,89.610001,89.809998,88.370003,88.489998,83.919487,71800
2021-11-30,88.110001,88.690002,86.470001,88.180000,83.625496,85100
2021-12-01,89.379997,90.040001,87.949997,88.300003,83.739304,62900
2021-12-02,89.029999,91.250000,88.709999,91.169998,86.461067,27300
2021-12-03,91.349998,91.540001,88.830002,89.559998,84.934219,70400
2021-12-06,89.709999,89.809998,88.769997,89.300003,84.687653,28500
2021-12-07,90.050003,90.980003,90.000000,90.440002,85.768768,81100
